_id,name,area,district,state,pincode,latitude,longitude,qr,population,latitudes,longitudes,__v
653927a0e0265e4af914bde2,Deputy Superintendent of Police Office,Railway Station Road,Sikar,Rajasthan,382330,27.73992,75.80798,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/j4xzhajnw0xfnaoieexa.png,0,,,
653927a0e0265e4af914bde3,Police Adhokhak House,SH-59,Jhunjhunun,Rajasthan,,27.84838,75.2527,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/pxblfidcxsyubp16ptl1.png,0,,,
653927a0e0265e4af914bde4,Electricity Theft Prevention Police Officer,SH-59,Hanumangarh,Rajasthan,383325,29.58842,74.32269,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247745/yd0d5nmhyngcdves5kw5.png,0,,,
653927a0e0265e4af914bde5,Circle Officer Office Police Department,Makarba Road,Barmer,Rajasthan,380051,25.75557,71.39848,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247750/q10adigqd45dhez33gwk.png,0,,,
653927a0e0265e4af914bde6,District Police Control Room,Morbi Road,Barmer,Rajasthan,,25.75557,71.39848,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/tncucgpfpx0gijoqolbi.png,0,,,
653927a0e0265e4af914bde7,Jail Neem Ka Police Station,Sh174,Sikar,Rajasthan,,27.74068,75.80692,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/st3fzooiguexlvkpx4v0.png,0,,,
653927a0e0265e4af914bde8,Police Station Bangla Nagar,Police Colony Road,Bikaner,Rajasthan,,28.02141,73.28111,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/exn9pwrmuu8wlvprnovp.png,0,,,
653927a0e0265e4af914bde9,Police Chowki Townpck,Oswal Bhavan Road,Dhaulpur,Rajasthan,380004,26.89331,78.16831,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/bpvwgiaugm9qrk3ckyfb.png,0,,,
653927a0e0265e4af914bdea,Deputy Superintendent of Police Office,Danteshwar,Sikar,Rajasthan,390004,27.73992,75.80798,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/scmwkyauxjhnlihg4zer.png,0,,,
653927a0e0265e4af914bdeb,Traffic Police Station Mahaveer Nagar,Rajmahal Road,Pali,Rajasthan,390001,25.76937,73.32839,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/n44n7uqrse9c2yudr8yx.png,0,,,
653927a0e0265e4af914bdec,Police Station Pali,Indian Overseas Bank Atm,Pali,Rajasthan,,25.77072,73.32826,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/m8tvqaodjolwxsjp1kur.png,0,,,
653927a0e0265e4af914bded,Police Commissioner Office,Mithapur,Pali,Rajasthan,,25.7711,73.32828,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/wpui6hldvsdevh3aii91.png,0,,,
653927a0e0265e4af914bdee,Deputy Inspector General of Police,Gujarat Sh93,Pali,Rajasthan,361310,25.77078,73.32805,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/cgjmmhkluhilzvgueljz.png,0,,,
653927a0e0265e4af914bdef,Mevadi Gate Police Chowki,SH-217,Ajmer,Rajasthan,,26.0956,74.3186,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/hjknbnjdru2tuxb9lwni.png,0,,,
653927a0e0265e4af914bdf0,Deputy Superintendent of Police Office,Vavfali,Sikar,Rajasthan,,27.73992,75.80798,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/tc75u6q9qrcntduic70b.png,0,,,
653927a0e0265e4af914bdf1,Police Station-Behrod,Tower Road,Alwar,Rajasthan,,27.8827,76.2859,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/xm7lqxwt296wgtkij4ge.png,0,,,
653927a0e0265e4af914bdf2,Deputy Superintendent of Police Office,Sarsvani Road,Sikar,Rajasthan,,27.73992,75.80798,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/gdvbfz6qoqluklpznykf.png,0,,,
653927a0e0265e4af914bdf3,Police Chowki Kuchera,Ghogha Road,Nagaur,Rajasthan,,26.98716,73.97072,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/jc5keblnaqit1yw1wfyp.png,0,,,
653927a0e0265e4af914bdf4,Additional Commissioner of Police,Shri Mahant Narsinhdas Marg,Jaipur,Rajasthan,,26.88398,75.81276,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/xfuxlo0tbtzbdpqv6bzf.png,0,,,
653927a0e0265e4af914bdf5,Mahila Police Station East,Pipali Road,Jaipur,Rajasthan,,26.88161,75.80427,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/aawljqsqovh3yppd7wrs.png,0,,,
653927a0e0265e4af914bdf6,Police Control Room,Bhadrakali Road,Ganganagar,Rajasthan,,29.931639,73.871444,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/guh9brkzgm6gougdqbzh.png,0,,,
653927a0e0265e4af914bdf7,Women Police Station,Chhotaudepur Chandpur Road,Rajsamand,Rajasthan,,25.06254,73.91221,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247747/pwz9il7ycz1ohgpvajpv.png,0,,,
653927a0e0265e4af914bdf8,Police Station Shiv,Sarkhej Gandhinagar Highway,Barmer,Rajasthan,,26.18942,71.24447,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/zhguldrehtgrmoaljdk0.png,0,,,
653927a0e0265e4af914bdf9,Traffic Police Chowki,Gurunanak Road,Pali,Rajasthan,,25.79617,73.30399,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/hyknpuhj1mrhpyr63mwt.png,0,,,
653927a0e0265e4af914bdfa,Police Station Pali,Kheda To Khambhat Highway,Pali,Rajasthan,,25.77072,73.32826,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/hdkqm07amp8z9e4ggwpj.png,0,,,
653927a0e0265e4af914bdfb,Police Chowki Pali,Jalalpore Road,Pali,Rajasthan,,25.79665,73.30367,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/musdtzz4ubftn6gcuoaz.png,0,,,
653927a0e0265e4af914bdfc,Police Station Pali,Nurani Masjid Road,Pali,Rajasthan,,25.77072,73.32826,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/q3ek6bzwtsrpqom56bpz.png,0,,,
653927a0e0265e4af914bdfd,Anantpura Police Station,Mullawada,Kota,Rajasthan,,25.107,75.86089,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/ayoikgkfyo8w9kcsbzdw.png,0,,,
653927a0e0265e4af914bdfe,Police Station Vazirpura,Borisana Road,Sawai Madhopur,Rajasthan,,26.57397,76.90081,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247747/vou5ee7an9mfrsm5yikd.png,0,,,
653927a0e0265e4af914be00,Deputy Superintendent of Police Mela Camp,Main Bazar,Jaisalmer,Rajasthan,,27.00856,71.92144,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/brfv5wzodyrqheldoowy.png,0,,,
653927a0e0265e4af914be01,Deputy Superintendent of Police,Gita Nagar Road 1,Jaipur,Rajasthan,,26.90357,75.18816,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/nz7ztoy9j7dbj16oudib.png,0,,,
653927a0e0265e4af914be02,Grahani Market Police Station,Bharuch Bypass Road,Jaipur,Rajasthan,,26.91004,75.18964,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/yykm3alpryrkatfevvmn.png,0,,,
653927a0e0265e4af914be03,Police Chowki Sambhar Bus Station,Nikol Gam Road,Jaipur,Rajasthan,,26.91028,75.18974,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/y1ymhh4tcojei1kiqcvz.png,0,,,
653927a0e0265e4af914be04,Police Station Udyog Nagar,Kathana Road,Bharatpur,Rajasthan,,27.24432,77.50356,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/bs20igxxrkcslpbsyeo1.png,0,,,
653927a0e0265e4af914be05,Reserve Police Line,SH-21,Jhunjhunun,Rajasthan,,28.100918,75.37222,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/sk0cx9coxoeg4yde3gv3.png,0,,,
653927a0e0265e4af914be06,Police Chowki Manak Chowk,Chhani Shak Market,Dungarpur,Rajasthan,,23.83217,73.71493,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247743/uzloq2mgttixakf9vdnd.png,0,,,
653927a0e0265e4af914be07,Adarsh Police Station,Chhota Udaipur Road,Karauli,Rajasthan,,26.5016,77.0268,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247745/rwrcfqmwsjlwmtsa7fjx.png,0,,,
653927a0e0265e4af914be08,Electricity Theft Prevention Police Officer,Adajan Garden Road,Hanumangarh,Rajasthan,,29.58842,74.32269,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247745/rgbxmxqt5yet6ipoaanb.png,0,,,
653927a0e0265e4af914be09,Police Chowki,SH-141,Churu,Rajasthan,,27.834298,74.332289,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/wovfsxy8zv58o4aaqjku.png,0,,,
653927a0e0265e4af914be0a,Police Chowki Vijay Mandir,Geedwani Road,Alwar,Rajasthan,,27.64248,76.59792,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247745/d2dwqvhwqdycqhfsvxrd.png,0,,,
653927a0e0265e4af914be0b,Police Chowki Maheshwas,Dumas Road,Jaipur,Rajasthan,,26.86242,75.36171,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/spajccqzn957ynorgt07.png,0,,,
653927a0e0265e4af914be0c,"Police Station, Beechwaal Industrial Area",SH-17,Bikaner,Rajasthan,,28.06283,73.33842,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247750/dpvrpgp2tmccklaqemdy.png,0,,,
653927a0e0265e4af914be0d,Police Chowki Kuchaman City,Gujrat Sh56a,Nagaur,Rajasthan,,27.149,74.85848,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247750/ox4ticgawldwtdhgr1tr.png,0,,,
653927a0e0265e4af914be0e,Additional Superintendent of Police Office,Gujrat Sh41,Jodhpur,Rajasthan,,26.26352,73.02794,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/eqfx1s5qjctc5wryipnk.png,0,,,
653927a0e0265e4af914be0f,Police Chowki Ghanerao,Lunawada Road,Pali,Rajasthan,,25.23501,73.53272,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247743/anphncbgg9gzmtqmbeh8.png,0,,,
653927a0e0265e4af914be10,Deputy Superintendent of Police Office,Mahatma Gandhi Road,Sikar,Rajasthan,,27.73992,75.80798,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247745/hhtvlrsdk99utrtanqx5.png,0,,,
653927a0e0265e4af914be11,Reserve Police Line,Laxmipura Road,Jhunjhunun,Rajasthan,,28.100918,75.37222,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/cmulthh24zjci3mmxxhr.png,0,,,
653927a0e0265e4af914be13,Police Chowki Bhavrani,Hanuman Mandir,Jalor,Rajasthan,,25.57231,72.66368,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247747/k39jblstd7fgcjmqdjc0.png,0,,,
653927a0e0265e4af914be14,Police Chowki Rail,Shiv Mandir,Ajmer,Rajasthan,,26.1054,74.3137,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/ayhw886rpifdepodw1hu.png,0,,,
653927a0e0265e4af914be15,Local Area Police Station Vijay Nagar,Hathikhana Main Road,Ajmer,Rajasthan,,25.92888,74.65356,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/szvlff5urdthlmrwhlpz.png,0,,,
653927a0e0265e4af914be16,Pindwara Traffic Police Chowki,Gandhi Nagar Road,Sirohi,Rajasthan,,24.79357,73.0598,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247747/x3i8vywlvtsq3d2ie3pb.png,0,,,
653927a0e0265e4af914be17,Deputy Superintendent of Police Office,Racecourse Road,Sikar,Rajasthan,,27.73992,75.80798,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247749/du27z9kxsqg43cpzqauz.png,0,,,
653927a0e0265e4af914be18,Excise Department Officer Office,Shak Market Road,Barmer,Rajasthan,,25.74687,71.41531,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/d2jvisbgjdqu2owojncj.png,0,,,
653927a0e0265e4af914be19,"Police Chowki, Kailashpuri",Swarnim Gujarat Ring Road,Udaipur,Rajasthan,,24.74695,73.72249,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247748/ifvwqgqbzaaordj0islh.png,0,,,
653927a0e0265e4af914be1a,Police Station-Antah,Sarkhej Gandhinagar Highway,Baran,Rajasthan,,25.14549,76.31059,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/c3m0j1xcf0mlo62a70fi.png,0,,,
653927a0e0265e4af914be1b,Police Station Antah,Shrinand Nagar Road,Baran,Rajasthan,,25.15658,76.29792,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247751/vaf0dzohcr6kjdbugpib.png,0,,,
653927a0e0265e4af914be1c,Ramsar Police Station,Vivekandnagar Road,Barmer,Rajasthan,,25.72658,70.88081,http://res.cloudinary.com/ddhncnedj/image/upload/v1698247746/k2bh7zwqwjom1y1pccxr.png,0,,,
